t,Produto,Investimento,Salario,Consumo,Arrecadacao,CapitalHumano,GastoEduc,Emprego
94,-0.3270987549328308,-0.32857157466323894,-0.2928510113598515,-0.2825106424725998,-0.3270987549328308,-0.29456750734393466,-1.000000000000012,-0.03434833301360074
95,-0.3274004720264845,-0.32881438105835104,-0.29317920939375686,-0.28284683585638737,-0.3274004720264734,-0.29482704666865533,-1.000000000000012,-0.03432188727048313
96,-0.32769012053780466,-0.3290474750003325,-0.2934942796699147,-0.2831695816871038,-0.32769012053779356,-0.29507620442038585,-1.000000000000012,-0.03429649913098132
97,-0.3279681831949377,-0.32927124501709315,-0.2937967472740888,-0.28347941783966046,-0.3279681831949377,-0.29531539586205025,-1.000000000000012,-0.03427212631318399
98,-0.3282351234190739,-0.32948606409016756,-0.2940871162924852,-0.2837768606781199,-0.3282351234190628,-0.2955450196460485,-1.000000000000012,-0.034248728223795766
99,-0.3284913860966965,-0.32969229027765,-0.29436587065097,-0.28406240591546394,-0.3284913860966854,-0.29576545847869173,-1.000000000000012,-0.034226265891312835
100,-0.32873739832028903,-0.32989026731311544,-0.29463347492104663,-0.2843365294390998,-0.32873739832027793,-0.29597707975802523,-1.000000000000012,-0.034204701901052736
101,-0.32897357010022166,-0.33008032517818364,-0.2948903750935594,-0.2845996881035151,-0.32897357010022166,-0.29618023618618317,-1.000000000000012,-0.034184000333470355
102,-0.3292002950474937,-0.3302627806514691,-0.2951369993216879,-0.28485232049110243,-0.3292002950474826,-0.29637526635721834,-1.000000000000012,-0.03416412670421698
103,-0.32941795102978677,-0.33043793784031106,-0.29537375863405435,-0.28509484764275284,-0.32941795102978677,-0.2965624953214063,-1.000000000000012,-0.03414504790711925
104,-0.3296269008008723,-0.33060608868555885,-0.29560104761953143,-0.2853276737592503,-0.3296269008008723,-0.29674223512703435,-1.000000000000012,-0.034126732159112105
105,-0.3298274926050948,-0.33076751344827127,-0.29581924508466084,-0.285551186874633,-0.3298274926050948,-0.2969147853404297,-1.000000000000012,-0.034109148947358836
106,-0.3300200607576409,-0.33092248117911893,-0.2960287146845375,-0.28576575950272076,-0.3300200607576298,-0.2970804335452937,-1.000000000000012,-0.03409226897876927
107,-0.3302049262016826,-0.33107125016470507,-0.2962298055291135,-0.2859717492576408,-0.3302049262016715,-0.29723945582196265,-1.000000000000012,-0.03407606413108333
108,-0.3303823970429387,-0.3312140683599085,-0.29642285276444413,-0.2861694994498398,-0.3303823970429387,-0.2973921172075622,-1.000000000000012,-0.034060507406219465
109,-0.33055276906347464,-0.3313511738006536,-0.29660817813147444,-0.2863593396578934,-0.33055276906347464,-0.29753867213774265,-1.000000000000012,-0.03404557288547716
