t,Produto,Investimento,Salario,Consumo,Arrecadacao,CapitalHumano,GastoEduc,Emprego
138,-0.0008308570539794502,-0.0006688319339254178,-0.0009037164211966875,-0.0009257147385977049,-0.000830857053968348,-0.0007147279570407505,-4.846925083512588e-07,7.28600256572065e-05
139,-0.0007976330235748286,-0.0006420786620942032,-0.0008675819584524902,-0.0008887015334524406,-0.0007976330235748286,-0.0006861446550709971,-4.362232575161329e-07,6.994954173666912e-05
140,-0.0007657369292646266,-0.0006163955204807614,-0.0008328914548494382,-0.0008531673181488841,-0.0007657369292646266,-0.0006587041035510666,-3.926009184418433e-07,6.715508489296695e-05
141,-0.000735115756100857,-0.0005917397039034711,-0.0007995872940091964,-0.0008190530868978918,-0.000735115756100857,-0.000632360650620889,-3.5334083436922015e-07,6.447205340709417e-05
142,-0.0007057185995251736,-0.0005680701197996463,-0.0007676141498880185,-0.0007863021788234725,-0.0007057185995140713,-0.0006070704646976566,-3.180067542629672e-07,6.189602548278827e-05
143,-0.0006774965818356904,-0.000545347318325895,-0.000736918896815375,-0.0007548601855700277,-0.0006774965818356904,-0.0005827914621892027,-2.8620608105711653e-07,5.9422752873850015e-05
144,-0.0006504027722731287,-0.0005235334286202153,-0.0007074505225967975,-0.0007246748626843491,-0.0006504027722731287,-0.0005594832381716763,-2.5758545296739044e-07,5.7048153911942734e-05
145,-0.0006243921097270899,-0.0005025920942647311,-0.0006791600452360491,-0.00069569604429498,-0.0006243921097270899,-0.0005371069996762401,-2.31826935426227e-07,5.476830746697914e-05
146,-0.0005994213288507133,-0.0004824884131116036,-0.0006520004326104889,-0.0006678755610445286,-0.0005994213288507133,-0.0005156255016181,-2.0864422412003591e-07,5.2579446552236675e-05
147,-0.0005754488888842779,-0.00046318887866325653,-0.0006259265255770252,-0.0006411671612860381,-0.0005754488888842779,-0.0004950029852790472,-1.877797917160251e-07,5.0477952640015644e-05
148,-0.0005524349052099531,-0.0004446613255160159,-0.0006008949638203198,-0.0006155264352325496,-0.0005524349052099531,-0.0004752051192324913,-1.690018125444226e-07,4.846034979966163e-05
149,-0.0005303410836821065,-0.0004268748742597417,-0.0005768641145875719,-0.0005909107422152893,-0.0005303410836710043,-0.000456198942488939,-1.5210163128998033e-07,4.652329927967713e-05
150,-0.0005091306575555343,-0.00040979988117362254,-0.0005537940043987,-0.0005672791404620625,-0.0005091306575444321,-0.00043795281000624797,-1.3689147593254347e-07,4.466359420085553e-05
151,-0.0004887683267673637,-0.0003934078874223701,-0.000531646253199014,-0.0005445923199953739,-0.0004887683267673637,-0.00042043634029820254,-1.2320232611884308e-07,4.287815438264175e-05
